,gen,nevals,swarm,sbestError,env
0,1,200,4,63.51050725552403,0
1,2,450,4,61.36038335010194,0
2,3,700,4,61.36038335010194,0
3,4,950,4,56.912860201586525,0
4,5,1200,4,53.477858512797205,0
5,6,1450,4,30.417345764096133,0
6,7,1700,4,30.417345764096133,0
7,8,1950,4,30.417345764096133,0
8,9,2200,4,21.74986775840599,0
9,10,2450,4,21.74986775840599,0
10,11,2700,4,21.74986775840599,0
11,12,2950,4,9.102277333348574,0
12,13,3200,4,9.102277333348574,0
13,14,3450,4,3.0312053361752618,0
14,15,3700,4,3.0312053361752618,0
15,16,3950,4,3.0312053361752618,0
16,17,4200,4,3.0059796862032755,0
17,18,4450,4,3.0059796862032755,0
18,19,4700,4,3.0059796862032755,0
19,20,4950,4,3.0059796862032755,0
20,21,5200,4,3.0059796862032755,0
21,22,5450,4,3.0059796862032755,0
22,23,5700,4,3.0059796862032755,0
23,24,5950,4,0.4156847058053046,0
24,25,6200,4,0.4156847058053046,0
25,26,6450,4,0.4156847058053046,0
26,27,6700,4,0.4156847058053046,0
27,28,6950,4,0.4156847058053046,0
28,29,7200,4,0.4156847058053046,0
29,30,7450,4,0.4156847058053046,0
30,31,7700,4,0.4156847058053046,0
31,32,7950,4,0.4156847058053046,0
32,33,8200,4,0.4156847058053046,0
33,34,8450,4,0.4156847058053046,0
34,35,8700,4,0.4156847058053046,0
35,36,8950,4,0.4156847058053046,0
36,37,9200,4,0.4156847058053046,0
37,38,9450,4,0.4156847058053046,0
38,39,9700,4,0.4156847058053046,0
39,40,9950,4,0.4156847058053046,0
40,41,10200,4,0.4156847058053046,0
41,42,10450,4,0.4156847058053046,0
42,43,10700,4,0.4156847058053046,0
43,44,10950,4,0.4156847058053046,0
44,45,11200,4,0.4156847058053046,0
45,46,11450,4,0.4156847058053046,0
46,47,11700,4,0.4156847058053046,0
47,48,11950,4,0.4156847058053046,0
48,49,12200,4,0.4156847058053046,0
49,50,12450,4,0.4156847058053046,0
