,gen,nevals,swarm,sbestError,env
0,1,50,1,63.98359253505868,0
1,2,300,1,63.52371316369044,0
2,3,550,1,63.43648325889928,0
3,4,800,1,42.38819156669948,0
4,5,1050,1,39.22997900457474,0
5,6,1300,1,35.818598229734334,0
6,7,1550,1,35.818598229734334,0
7,8,1800,1,34.18715581515459,0
8,9,2050,1,27.33401739976552,0
9,10,2300,1,27.33401739976552,0
10,11,2550,1,27.33401739976552,0
11,12,2800,1,27.33401739976552,0
12,13,3050,1,24.13951688868105,0
13,14,3300,1,24.13951688868105,0
14,15,3550,1,24.13951688868105,0
15,16,3800,1,24.13951688868105,0
16,17,4050,1,24.13951688868105,0
17,18,4300,1,24.13951688868105,0
18,19,4550,1,24.13951688868105,0
19,20,4800,1,24.13951688868105,0
20,21,5050,1,24.13951688868105,0
21,22,5300,1,24.13951688868105,0
22,23,5550,1,24.13951688868105,0
23,24,5800,1,24.13951688868105,0
24,25,6050,1,24.13951688868105,0
25,26,6300,1,24.13951688868105,0
26,27,6550,1,23.755562623383376,0
27,28,6800,1,23.755562623383376,0
28,29,7050,1,23.755562623383376,0
29,30,7300,1,23.755562623383376,0
30,31,7550,1,23.3123240827724,0
31,32,7800,1,22.336409976957647,0
32,33,8050,1,22.129292250886166,0
33,34,8300,1,22.129292250886166,0
34,35,8550,1,22.129292250886166,0
35,36,8800,1,22.129292250886166,0
36,37,9050,1,22.129292250886166,0
37,38,9300,1,22.129292250886166,0
38,39,9550,1,22.129292250886166,0
39,40,9800,1,22.129292250886166,0
40,41,10050,1,22.129292250886166,0
41,42,10300,1,22.129292250886166,0
42,43,10550,1,22.129292250886166,0
43,44,10800,1,22.129292250886166,0
44,45,11050,1,22.129292250886166,0
45,46,11300,1,22.129292250886166,0
46,47,11550,1,22.129292250886166,0
47,48,11800,1,22.129292250886166,0
48,49,12050,1,22.129292250886166,0
49,50,12300,1,22.129292250886166,0
