,gen,nevals,swarm,sbestError,env
0,1,100,2,52.491414690264335,0
1,2,350,2,52.491414690264335,0
2,3,600,2,52.491414690264335,0
3,4,850,2,50.37463892688075,0
4,5,1100,2,50.37463892688075,0
5,6,1350,2,49.15664047656622,0
6,7,1600,2,49.15664047656622,0
7,8,1850,2,49.15664047656622,0
8,9,2100,2,49.15664047656622,0
9,10,2350,2,42.5608286354977,0
10,11,2600,2,39.67029258716809,0
11,12,2850,2,39.568447925429055,0
12,13,3100,2,37.05401461019487,0
13,14,3350,2,28.543736082322265,0
14,15,3600,2,28.543736082322265,0
15,16,3850,2,28.543736082322265,0
16,17,4100,2,25.31776782945451,0
17,18,4350,2,25.31776782945451,0
18,19,4600,2,25.31776782945451,0
19,20,4850,2,25.31776782945451,0
20,21,5100,2,25.31776782945451,0
21,22,5350,2,25.31776782945451,0
22,23,5600,2,25.31776782945451,0
23,24,5850,2,25.31776782945451,0
24,25,6100,2,25.31776782945451,0
25,26,6350,2,25.31776782945451,0
26,27,6600,2,25.31776782945451,0
27,28,6850,2,25.31776782945451,0
28,29,7100,2,25.31776782945451,0
29,30,7350,2,25.31776782945451,0
30,31,7600,2,25.31776782945451,0
31,32,7850,2,25.31776782945451,0
32,33,8100,2,25.31776782945451,0
33,34,8350,2,24.826997813095478,0
34,35,8600,2,24.826997813095478,0
35,36,8850,2,24.826997813095478,0
36,37,9100,2,24.826997813095478,0
37,38,9350,2,24.826997813095478,0
38,39,9600,2,24.826997813095478,0
39,40,9850,2,24.826997813095478,0
40,41,10100,2,24.826997813095478,0
41,42,10350,2,24.826997813095478,0
42,43,10600,2,24.826997813095478,0
43,44,10850,2,24.826997813095478,0
44,45,11100,2,24.826997813095478,0
45,46,11350,2,24.826997813095478,0
46,47,11600,2,24.826997813095478,0
47,48,11850,2,24.826997813095478,0
48,49,12100,2,24.826997813095478,0
49,50,12350,2,24.826997813095478,0
