,gen,nevals,swarm,sbestError,env
0,1,250,5,59.98157764383168,0
1,2,500,5,59.98157764383168,0
2,3,750,5,54.16974467379772,0
3,4,1000,5,43.54015350817987,0
4,5,1250,5,43.54015350817987,0
5,6,1500,5,29.56078571771816,0
6,7,1750,5,29.56078571771816,0
7,8,2000,5,29.56078571771816,0
8,9,2250,5,29.56078571771816,0
9,10,2500,5,19.785412238600088,0
10,11,2750,5,16.50085327313691,0
11,12,3000,5,16.50085327313691,0
12,13,3250,5,16.50085327313691,0
13,14,3500,5,16.50085327313691,0
14,15,3750,5,12.467155434053945,0
15,16,4000,5,12.467155434053945,0
16,17,4250,5,12.467155434053945,0
17,18,4500,5,12.467155434053945,0
18,19,4750,5,12.467155434053945,0
19,20,5000,5,12.467155434053945,0
20,21,5250,5,12.467155434053945,0
21,22,5500,5,12.467155434053945,0
22,23,5750,5,12.467155434053945,0
23,24,6000,5,11.520441900513902,0
24,25,6250,5,11.520441900513902,0
25,26,6500,5,11.520441900513902,0
26,27,6750,5,11.520441900513902,0
27,28,7000,5,11.520441900513902,0
28,29,7250,5,11.520441900513902,0
29,30,7500,5,11.007841651956348,0
30,31,7750,5,11.007841651956348,0
31,32,8000,5,11.007841651956348,0
32,33,8250,5,11.007841651956348,0
33,34,8500,5,11.007841651956348,0
34,35,8750,5,11.007841651956348,0
35,36,9000,5,11.007841651956348,0
36,37,9250,5,11.007841651956348,0
37,38,9500,5,11.007841651956348,0
38,39,9750,5,11.007841651956348,0
39,40,10000,5,11.007841651956348,0
40,41,10250,5,11.007841651956348,0
41,42,10500,5,11.007841651956348,0
42,43,10750,5,11.007841651956348,0
43,44,11000,5,11.007841651956348,0
44,45,11250,5,11.007841651956348,0
45,46,11500,5,11.007841651956348,0
46,47,11750,5,11.007841651956348,0
47,48,12000,5,11.007841651956348,0
48,49,12250,5,11.007841651956348,0
49,50,12500,5,11.007841651956348,0
