,gen,nevals,swarm,sbestError,env
0,1,150,3,60.93110256396814,0
1,2,400,3,57.37664519054288,0
2,3,650,3,57.37664519054288,0
3,4,900,3,57.37664519054288,0
4,5,1150,3,39.07093685838203,0
5,6,1400,3,34.40157011809125,0
6,7,1650,3,29.400409442085746,0
7,8,1900,3,29.400409442085746,0
8,9,2150,3,29.400409442085746,0
9,10,2400,3,29.400409442085746,0
10,11,2650,3,25.18669475824728,0
11,12,2900,3,25.18669475824728,0
12,13,3150,3,25.18669475824728,0
13,14,3400,3,25.18669475824728,0
14,15,3650,3,25.18669475824728,0
15,16,3900,3,25.18669475824728,0
16,17,4150,3,25.18669475824728,0
17,18,4400,3,25.18669475824728,0
18,19,4650,3,25.18669475824728,0
19,20,4900,3,25.18669475824728,0
20,21,5150,3,23.563438772301502,0
21,22,5400,3,23.563438772301502,0
22,23,5650,3,23.563438772301502,0
23,24,5900,3,22.5947509721708,0
24,25,6150,3,22.5947509721708,0
25,26,6400,3,22.5947509721708,0
26,27,6650,3,21.756450493819763,0
27,28,6900,3,21.756450493819763,0
28,29,7150,3,21.756450493819763,0
29,30,7400,3,21.756450493819763,0
30,31,7650,3,21.756450493819763,0
31,32,7900,3,21.756450493819763,0
32,33,8150,3,21.756450493819763,0
33,34,8400,3,21.756450493819763,0
34,35,8650,3,21.756450493819763,0
35,36,8900,3,21.756450493819763,0
36,37,9150,3,21.756450493819763,0
37,38,9400,3,21.756450493819763,0
38,39,9650,3,21.756450493819763,0
39,40,9900,3,21.756450493819763,0
40,41,10150,3,21.756450493819763,0
41,42,10400,3,21.756450493819763,0
42,43,10650,3,21.756450493819763,0
43,44,10900,3,21.756450493819763,0
44,45,11150,3,21.756450493819763,0
45,46,11400,3,21.756450493819763,0
46,47,11650,3,21.756450493819763,0
47,48,11900,3,21.756450493819763,0
48,49,12150,3,21.756450493819763,0
49,50,12400,3,21.756450493819763,0
