,gen,nevals,swarm,bestError,env
0,1,250,1,54.70414731275719,0
1,2,500,1,50.86084178180596,0
2,3,750,1,46.45787992977888,0
3,4,1000,1,21.710997058065395,0
4,5,1250,1,11.649923544698275,0
5,6,1500,1,11.649923544698275,0
6,7,1750,1,11.649923544698275,0
7,8,2000,1,11.649923544698275,0
8,9,2250,1,11.649923544698275,0
9,10,2500,1,11.649923544698275,0
10,11,2750,1,2.92974868438057,0
11,12,3000,1,2.92974868438057,0
12,13,3250,1,2.92974868438057,0
13,14,3500,1,0.6725230795915138,0
14,15,3750,1,0.6725230795915138,0
15,16,4000,1,0.6725230795915138,0
16,17,4250,1,0.6725230795915138,0
17,18,4500,1,0.6725230795915138,0
18,19,4750,1,0.6725230795915138,0
19,20,5000,1,0.6725230795915138,0
20,21,5250,1,0.6725230795915138,0
21,22,5500,1,0.3730023552539165,0
22,23,5750,1,0.3730023552539165,0
23,24,6000,1,0.3730023552539165,0
24,25,6250,1,0.3730023552539165,0
25,26,6500,1,0.3730023552539165,0
26,27,6750,1,0.3730023552539165,0
27,28,7000,1,0.3730023552539165,0
28,29,7250,1,0.3730023552539165,0
29,30,7500,1,0.3730023552539165,0
30,31,7750,1,0.3730023552539165,0
31,32,8000,1,0.3730023552539165,0
32,33,8250,1,0.3730023552539165,0
33,34,8500,1,0.3730023552539165,0
34,35,8750,1,0.3730023552539165,0
35,36,9000,1,0.3730023552539165,0
36,37,9250,1,0.3730023552539165,0
37,38,9500,1,0.3730023552539165,0
38,39,9750,1,0.3730023552539165,0
39,40,10000,1,0.3730023552539165,0
40,41,10250,1,0.3730023552539165,0
41,42,10500,1,0.3730023552539165,0
42,43,10750,1,0.3730023552539165,0
43,44,11000,1,0.3730023552539165,0
44,45,11250,1,0.3730023552539165,0
45,46,11500,1,0.3730023552539165,0
46,47,11750,1,0.3730023552539165,0
47,48,12000,1,0.3730023552539165,0
48,49,12250,1,0.3730023552539165,0
49,50,12500,1,0.3730023552539165,0
