,gen,nevals,swarm,bestError,env
0,1,250,1,50.565764573785,0
1,2,500,1,50.565764573785,0
2,3,750,1,24.21498085038068,0
3,4,1000,1,24.21498085038068,0
4,5,1250,1,24.21498085038068,0
5,6,1500,1,24.21498085038068,0
6,7,1750,1,24.21498085038068,0
7,8,2000,1,20.76742513596508,0
8,9,2250,1,16.243833749790596,0
9,10,2500,1,16.243833749790596,0
10,11,2750,1,13.518745419586176,0
11,12,3000,1,12.77659703131198,0
12,13,3250,1,7.324339693609765,0
13,14,3500,1,7.324339693609765,0
14,15,3750,1,6.961686583510272,0
15,16,4000,1,6.961686583510272,0
16,17,4250,1,6.961686583510272,0
17,18,4500,1,6.961686583510272,0
18,19,4750,1,6.961686583510272,0
19,20,5000,1,6.961686583510272,0
20,21,5250,1,6.876139756271044,0
21,22,5500,1,6.876139756271044,0
22,23,5750,1,6.876139756271044,0
23,24,6000,1,6.637779183131769,0
24,25,6250,1,6.637779183131769,0
25,26,6500,1,6.637779183131769,0
26,27,6750,1,6.637779183131769,0
27,28,7000,1,6.637779183131769,0
28,29,7250,1,6.538702273928834,0
29,30,7500,1,6.538702273928834,0
30,31,7750,1,6.538702273928834,0
31,32,8000,1,6.538702273928834,0
32,33,8250,1,6.538702273928834,0
33,34,8500,1,6.538702273928834,0
34,35,8750,1,6.538702273928834,0
35,36,9000,1,6.538702273928834,0
36,37,9250,1,6.538702273928834,0
37,38,9500,1,6.538702273928834,0
38,39,9750,1,6.538702273928834,0
39,40,10000,1,6.1873337064122325,0
40,41,10250,1,6.1873337064122325,0
41,42,10500,1,6.1873337064122325,0
42,43,10750,1,6.1873337064122325,0
43,44,11000,1,6.1873337064122325,0
44,45,11250,1,6.1873337064122325,0
45,46,11500,1,6.1873337064122325,0
46,47,11750,1,6.1873337064122325,0
47,48,12000,1,6.1873337064122325,0
48,49,12250,1,6.1873337064122325,0
49,50,12500,1,6.1873337064122325,0
