opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(66.78979778758284, [37.30349551334665, 44.169628405529224, 50.336469988605025, 90.20989613629237, 6.720425364939371])","(62.73723576928149, [92.0982566970457, 50.884810285394785, 4.686399236371927, 34.3586553652036, 47.86167108582487])","(59.35008646665571, [0.31985637156235036, 48.234158187881626, 95.77448266968094, 58.057300617347565, 30.743903144897295])","(58.840295230095904, [52.318832291365325, 83.80135086434828, 40.02905853992963, 18.3672589451715, 98.10542230718576])","(51.03950027116515, [57.91163948430335, 78.27017322848229, 55.39083599896887, 15.857373399975003, 5.606631258184891])","(46.68410255542895, [63.2577720637918, 7.685937566506491, 37.04192636390711, 97.03729990395875, 41.26504563859666])","(46.34852955710514, [61.37473463318999, 39.291854709658324, 16.56861134784084, 82.16200820178375, 84.70658606398001])","(44.65115010672771, [96.65683728349441, 61.32927576509106, 48.27125361977424, 13.108263893944496, 59.55154869615617])","(43.459360952779704, [95.22238111202441, 46.57970198816982, 20.60434226765164, 25.340198225609246, 2.357367175898046])","(41.25454312636054, [85.80712932323216, 78.03970529283265, 52.356351538943706, 45.85954370042225, 56.08245776270931])"
"(67.14382846522203, [36.69609005254837, 43.96555916100326, 50.23558372312745, 89.46341555530383, 6.868759626915573])","(57.458210127350156, [52.36016689743253, 83.90110947955354, 40.77418802516291, 17.86289285519425, 97.6826498310823])","(56.070176453554765, [92.48975322516512, 50.474691215063714, 5.24107597059379, 34.4840116493663, 47.26572449496701])","(50.383663454110284, [58.52365204529132, 77.93110928975305, 55.00213332513872, 16.198251223923645, 6.099773034090868])","(46.24015075822246, [0.3960259629027536, 48.578294689630496, 96.2362300896683, 57.6799797392536, 30.627710088072636])","(44.88826599793033, [62.57023037302177, 8.25023166239987, 37.471336949448045, 96.92163025969478, 41.37033419074838])","(44.71959446219819, [96.3557898785813, 60.780390979841314, 48.83785331261067, 12.671017144924441, 59.24191016324159])","(44.355607469930696, [95.28907321841521, 46.72901689919328, 21.308082860726397, 24.913912486914814, 1.8130447834358745])","(41.20357334624404, [60.69547702158624, 39.164200665794795, 17.134042384785623, 81.96393099626938, 84.30239959058088])","(32.648190825313165, [86.26735975414256, 77.57506386549508, 52.70640309800778, 46.47681206659519, 55.82027468815122])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(66.78979778758284, [37.30349551334665, 44.169628405529224, 50.336469988605025, 90.20989613629237, 6.720425364939371])","(62.73723576928149, [92.0982566970457, 50.884810285394785, 4.686399236371927, 34.3586553652036, 47.86167108582487])","(59.35008646665571, [0.31985637156235036, 48.234158187881626, 95.77448266968094, 58.057300617347565, 30.743903144897295])","(58.840295230095904, [52.318832291365325, 83.80135086434828, 40.02905853992963, 18.3672589451715, 98.10542230718576])","(51.03950027116515, [57.91163948430335, 78.27017322848229, 55.39083599896887, 15.857373399975003, 5.606631258184891])","(46.68410255542895, [63.2577720637918, 7.685937566506491, 37.04192636390711, 97.03729990395875, 41.26504563859666])","(46.34852955710514, [61.37473463318999, 39.291854709658324, 16.56861134784084, 82.16200820178375, 84.70658606398001])","(44.65115010672771, [96.65683728349441, 61.32927576509106, 48.27125361977424, 13.108263893944496, 59.55154869615617])","(43.459360952779704, [95.22238111202441, 46.57970198816982, 20.60434226765164, 25.340198225609246, 2.357367175898046])","(41.25454312636054, [85.80712932323216, 78.03970529283265, 52.356351538943706, 45.85954370042225, 56.08245776270931])"
"(67.14382846522203, [36.69609005254837, 43.96555916100326, 50.23558372312745, 89.46341555530383, 6.868759626915573])","(57.458210127350156, [52.36016689743253, 83.90110947955354, 40.77418802516291, 17.86289285519425, 97.6826498310823])","(56.070176453554765, [92.48975322516512, 50.474691215063714, 5.24107597059379, 34.4840116493663, 47.26572449496701])","(50.383663454110284, [58.52365204529132, 77.93110928975305, 55.00213332513872, 16.198251223923645, 6.099773034090868])","(46.24015075822246, [0.3960259629027536, 48.578294689630496, 96.2362300896683, 57.6799797392536, 30.627710088072636])","(44.88826599793033, [62.57023037302177, 8.25023166239987, 37.471336949448045, 96.92163025969478, 41.37033419074838])","(44.71959446219819, [96.3557898785813, 60.780390979841314, 48.83785331261067, 12.671017144924441, 59.24191016324159])","(44.355607469930696, [95.28907321841521, 46.72901689919328, 21.308082860726397, 24.913912486914814, 1.8130447834358745])","(41.20357334624404, [60.69547702158624, 39.164200665794795, 17.134042384785623, 81.96393099626938, 84.30239959058088])","(32.648190825313165, [86.26735975414256, 77.57506386549508, 52.70640309800778, 46.47681206659519, 55.82027468815122])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(66.78979778758284, [37.30349551334665, 44.169628405529224, 50.336469988605025, 90.20989613629237, 6.720425364939371])","(62.73723576928149, [92.0982566970457, 50.884810285394785, 4.686399236371927, 34.3586553652036, 47.86167108582487])","(59.35008646665571, [0.31985637156235036, 48.234158187881626, 95.77448266968094, 58.057300617347565, 30.743903144897295])","(58.840295230095904, [52.318832291365325, 83.80135086434828, 40.02905853992963, 18.3672589451715, 98.10542230718576])","(51.03950027116515, [57.91163948430335, 78.27017322848229, 55.39083599896887, 15.857373399975003, 5.606631258184891])","(46.68410255542895, [63.2577720637918, 7.685937566506491, 37.04192636390711, 97.03729990395875, 41.26504563859666])","(46.34852955710514, [61.37473463318999, 39.291854709658324, 16.56861134784084, 82.16200820178375, 84.70658606398001])","(44.65115010672771, [96.65683728349441, 61.32927576509106, 48.27125361977424, 13.108263893944496, 59.55154869615617])","(43.459360952779704, [95.22238111202441, 46.57970198816982, 20.60434226765164, 25.340198225609246, 2.357367175898046])","(41.25454312636054, [85.80712932323216, 78.03970529283265, 52.356351538943706, 45.85954370042225, 56.08245776270931])"
"(67.14382846522203, [36.69609005254837, 43.96555916100326, 50.23558372312745, 89.46341555530383, 6.868759626915573])","(57.458210127350156, [52.36016689743253, 83.90110947955354, 40.77418802516291, 17.86289285519425, 97.6826498310823])","(56.070176453554765, [92.48975322516512, 50.474691215063714, 5.24107597059379, 34.4840116493663, 47.26572449496701])","(50.383663454110284, [58.52365204529132, 77.93110928975305, 55.00213332513872, 16.198251223923645, 6.099773034090868])","(46.24015075822246, [0.3960259629027536, 48.578294689630496, 96.2362300896683, 57.6799797392536, 30.627710088072636])","(44.88826599793033, [62.57023037302177, 8.25023166239987, 37.471336949448045, 96.92163025969478, 41.37033419074838])","(44.71959446219819, [96.3557898785813, 60.780390979841314, 48.83785331261067, 12.671017144924441, 59.24191016324159])","(44.355607469930696, [95.28907321841521, 46.72901689919328, 21.308082860726397, 24.913912486914814, 1.8130447834358745])","(41.20357334624404, [60.69547702158624, 39.164200665794795, 17.134042384785623, 81.96393099626938, 84.30239959058088])","(32.648190825313165, [86.26735975414256, 77.57506386549508, 52.70640309800778, 46.47681206659519, 55.82027468815122])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
