run,gen,nevals,swarmId,partId,part,partError,sbest,sbestError,best,bestError,env
1,1,100,,,,,,,"[17.348396471738056, 12.079650577834224, 19.086149143443798, 17.745302094339255, 2.706919547909059]",67.71364860998558,1
1,2,210,,,,,,,"[17.348396471738056, 12.079650577834224, 19.086149143443798, 17.745302094339255, 2.706919547909059]",67.71364860998558,1
1,3,340,,,,,,,"[21.9627859404741, 21.563336443900397, 1.6388691957302806, 9.954260639945852, 16.132743815806077]",67.70530289803835,1
1,4,470,,,,,,,"[16.339056483914437, 18.972234356961604, 27.123820297968432, 24.387629902959738, 8.142333780034825]",67.6898689449346,1
1,5,600,,,,,,,"[32.11917453328386, 17.78252318042942, 26.51712351339728, 31.838617170870474, 18.488404878383903]",67.66561330377083,1
1,6,730,,,,,,,"[21.37692279395666, 24.072335038628044, 29.59395683618518, 37.98417754331933, -1.4476551500503305]",67.63450496932501,1
1,7,860,,,,,,,"[26.37692279395666, 29.072335038628044, 34.59395683618518, 42.98417754331933, -5.709709407409337]",67.58604952637116,1
1,8,990,,,,,,,"[26.168816439430813, 34.04864296130985, 39.59395683618518, 47.98417754331933, -0.7097094074093366]",67.50899233859313,1
1,9,1120,,,,,,,"[25.33002996369841, 38.83919448063107, 44.59395683618518, 52.98417754331933, 4.290290592590663]",67.40300975688321,1
1,10,1250,,,,,,,"[26.67646638487478, 43.58135659310707, 49.59395683618518, 57.98417754331933, 9.290290592590663]",67.25037988214233,1
1,11,1380,,,,,,,"[29.407054419973306, 48.45465861631633, 54.59395683618518, 62.98417754331933, 14.290290592590663]",67.07982131050065,1
1,12,1510,,,,,,,"[33.31342604258585, 53.3291982645096, 59.59395683618518, 67.98417754331933, 19.290290592590665]",67.01253256308583,1
1,13,1640,,,,,,,"[30.064175896440986, 51.738272270676404, 49.522150996413274, 69.38762990295973, 8.688867611011494]",66.63360218663651,1
1,14,1770,,,,,,,"[35.064175896440986, 56.738272270676404, 54.522150996413274, 74.38762990295973, 5.220204516974404]",66.28916678538376,1
1,15,1900,,,,,,,"[34.12725699419161, 61.85908564094216, 53.87631659294331, 82.71543142622069, 4.290290592590665]",66.14424954861083,1
1,16,2030,,,,,,,"[39.01383884748671, 57.657026949648554, 48.87631659294331, 87.71543142622069, 0.48632363823483615]",65.0710182687884,1
1,17,2160,,,,,,,"[41.440583687947615, 54.95023330917698, 46.11116536415505, 86.14354986033013, 6.073400505468586]",64.0629302510107,1
1,18,2290,,,,,,,"[42.301081143567885, 51.95549920765018, 47.31453084322503, 91.14354986033013, 1.0734005054685856]",63.14082609156038,1
1,19,2420,,,,,,,"[90.39521267352276, 49.17118363507608, -2.461253240743215, 33.69215148829914, 48.28373764793653]",57.99438021423245,1
1,20,2550,,,,,,,"[91.49769555020258, 51.13893202542037, 1.9065725370759772, 32.768077380264344, 42.47288820125921]",56.52511715279261,1
1,21,2680,,,,,,,"[39.209483275513875, 40.99706436045062, 49.94505250413285, 90.6376773957297, 3.955297335879627]",51.29482053281414,1
1,22,2810,,,,,,,"[38.87836813276611, 41.42582584716213, 49.81713828948404, 90.65217556691596, 4.231138509024582]",48.58736447420297,1
1,23,2940,,,,,,,"[89.91234585019815, 51.94205403319783, 3.824004726515499, 35.609483908140845, 46.289110390395464]",39.32724119347274,1
1,24,3130,,,,,,,"[98.34009316216554, 58.47918970060763, 25.744419829693484, 10.849736864547605, -0.6908493124641133]",65.59930215281915,1
1,25,3300,,,,,,,"[39.20878553346438, 43.451824764055914, 49.60623436648931, 91.1072959977458, 6.491067305499137]",23.568943696371278,2
1,26,3430,,,,,,,"[39.0273924197806, 43.45242485401441, 49.41067370532986, 91.19323595671541, 6.38606501349315]",23.25122254362587,2
1,27,3560,,,,,,,"[38.967424630864684, 43.37153491217419, 49.26546780617365, 91.07432229281468, 6.40854004488663]",23.181532656979527,2
1,28,3690,,,,,,,"[39.121837016256386, 43.56274975013496, 49.42802696904876, 91.09473268532132, 6.670568363762123]",22.865715591214794,2
1,29,3820,,,,,,,"[38.509471799468535, 43.56611498996065, 49.73796065807231, 91.37796048289981, 6.3004234671513295]",17.901061648190137,2
1,30,3950,,,,,,,"[38.17671167542214, 43.824797820338105, 49.567078799758704, 90.66377624597669, 6.24672026274986]",10.546237118481109,2
1,31,4080,,,,,,,"[38.17671167542214, 43.824797820338105, 49.567078799758704, 90.66377624597669, 6.24672026274986]",10.546237118481109,2
1,32,4210,,,,,,,"[38.17671167542214, 43.824797820338105, 49.567078799758704, 90.66377624597669, 6.24672026274986]",10.546237118481109,2
1,33,4340,,,,,,,"[38.17671167542214, 43.824797820338105, 49.567078799758704, 90.66377624597669, 6.24672026274986]",10.546237118481109,2
1,34,4470,,,,,,,"[38.048417146077526, 43.93070992649499, 49.49285448249348, 90.5392712765879, 6.233074213345161]",9.432535989922478,2
1,35,4600,,,,,,,"[38.02625804918236, 43.87633287734843, 49.56381414994388, 90.2519490657142, 6.25076976347769]",8.234313743827158,2
1,36,4730,,,,,,,"[37.775202235361405, 44.3222333483552, 49.4678420038738, 90.06420980674604, 6.321348331642212]",6.958439339430363,2
1,37,4860,,,,,,,"[37.48477067929908, 44.4862744182296, 49.68455609053805, 89.81789841164324, 6.795406110416923]",4.407869791046622,2
1,38,4990,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
1,39,5120,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
1,40,5250,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
1,41,5380,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
1,42,5510,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
1,43,5640,,,,,,,"[37.263181031559874, 44.13326337267118, 50.2534416527427, 90.0511625433778, 6.459653110774811]",0.6710238209522998,2
